Spanish,English
dos 556427,two 556427
esa 553442,this 553442
nunca 549997,never 549997
dónde 539643,"where 539,643"
va 535397,535397 will
oh 532776,oh 532776
favor 527629,Please 527629
mucho 516361,lot 516361
mí 515655,me 515655
quieres 515465,"want 515,465"
siento 512907,"sorry 512,907"
señor 507728,Mr. 507728
mejor 500478,best 500478
hace 495352,495352 ago
has 492533,has 492533
decir 492098,"say 492,098"
también 488057,also 488057
sobre 478020,"about 478,020"
dios 476939,god 476939
sin 474770,without 474770
tenemos 473895,"we have 473,895"
están 471887,They are 471887
ti 470358,ti 470358
puedes 463318,can 463318
ver 462775,see 462775
hombre 460084,460084 man
vida 453649,453649 life
alguien 447141,someone 447141
cosas 424801,things 424801
siempre 424363,always 424363
hasta 423321,to 423321
ahí 422871,Hence 422871
ir 411198,go 411198
años 408547,"408,547 years"
antes 405555,405555 before
estar 402369,be 402369
ni 401980,or 401980
poco 397739,"some 397,739"
día 395131,"day 395,131"
uno 393047,"one 393,047"
noche 391078,night 391078
hecho 391011,Indeed 391011
mis 385798,"My 385,798"
estamos 376563,"are 376,563"
otra 368984,"another 368,984"
acuerdo 367329,according 367329
trabajo 363747,"363,747 work"
nosotros 357836,us 357836
parece 355615,"355,615 seems"
gente 354586,"354,586 people"
sea 352790,"is 352,790"
padre 351051,351051 father
mira 349779,look 349779
mismo 347834,same 347834
dijo 342900,said 342900
nadie 339772,"nobody 339,772"
quiere 332148,332148 wants
podría 329332,could 329332
hablar 327201,talking 327201
vas 327127,327127 go
ellos 323892,they 323892
sr. 321637,Mr. 321637
tal 317926,such 317926
pasa 315529,"passes 315,529"
fuera 311571,"was 311,571"
después 311500,after 311500
han 308501,"have 308,501"
desde 303620,from 303620
dinero 300518,money 300518
mundo 298208,298208 world
claro 296584,296584 clear
momento 294559,"294,559 times"
les 294439,"les 294,439"
tener 292932,having 292932
estado 292015,"292,015 state"
otro 290565,other 290565
había 289157,"there were 289,157"
mañana 283391,283391 morning
tenía 282966,had 282966
madre 281646,281646 mother
vale 280447,worth 280447
lugar 280315,280315 place
haciendo 278317,"by 278,317"
donde 277524,where 277524
seguro 277231,insurance 277231
sabe 273895,"273,895 knows"
podemos 272425,We can 272425
tus 271677,your 271677
espera 270741,"270,741 expected"
nuevo 269895,"269,895 new"
sido 269505,been 269505
cosa 269054,thing 269054
hijo 267856,son 267856
allí 267215,there 267215
menos 263837,"least 263,837"
tipo 262340,type 262340
amigo 258356,258356 friend
gran 257648,large 257648
nuestro 254046,our 254046
mujer 249627,249627 woman
mamá 247700,247700 mom
luego 245811,"then 245,811"
papá 243251,dad 243251
días 243003,"243,003 days"
dice 240795,"says 240,795"
hoy 240395,today 240395
tres 239782,three 239782
buena 238330,good 238330
necesito 237654,I need 237654
dije 235936,said 235936
oye 234324,234324 hears
gusta 233367,like 233367
quería 230602,wanted 230602
será 230159,It will be 230159
haber 229602,having 229602
parte 229038,part 229038
todas 227146,all 227146
crees 225748,225748 think
buen 224802,good 224802
conmigo 224527,224527 me
nombre 222406,name 222406
mierda 221567,"shit 221,567"
nuestra 221503,our 221503
mal 220024,bad 220024
debe 218223,"to 218,223"
realmente 217847,really 217847
estas 216844,"these 216,844"
aún 215129,"still 215,129"
mío 212096,"my 212,096"
toda 211746,all 211746
hacerlo 209901,do 209901
cada 209674,"209,674 each"
visto 206949,seen 206949
importa 203118,matter 203118
contigo 202208,"you 202,208"
tienen 200708,have 200708
hemos 200028,We have 200028
razón 198832,198832 reason
alguna 198263,"some 198,263"
tanto 197519,both 197519
saber 196610,namely 196610
hizo 196192,He made 196192
veces 195756,195756 times
serio 194846,serious 194846
ven 193452,see 193452
idea 193369,193369 notion
eh 193299,eh 193299
tarde 191883,later 191883
problema 189963,problem 189963
hora 189851,hour 189851
cierto 189653,"some 189,653"
dicho 187895,"said 187,895"
quien 187133,who 187133
demasiado 182668,too 182668
amor 182326,182326 love
entre 181114,"between 181,114"
ve 179427,see 179427
pasado 178763,"past 178,763"
familia 177748,177748 family
estos 176532,"these 176,532"
policía 175471,"175,471 police"
debería 175394,should 175394
ustedes 174241,you 174241
chica 173210,173210 girl
esos 171237,these 171237
chicos 170008,170008 boys
cuenta 169714,account 169714
haces 166985,do 166985
todavía 166624,"still 166,624"
salir 165591,"out 165,591"
algún 163790,"some 163,790"
vaya 162833,go 162833
unos 162525,about 162525
veo 162326,I see 162326
amigos 160684,friends 160684
hermano 159678,159678 brother
pensé 159438,"I thought 159,438"
sabía 156439,156439 knew
cabeza 156069,"156,069 head"
ah 156002,ah 156002
cariño 153353,"153,353 affection"
digo 153149,say 153149
van 153024,van 153024
hombres 151647,"151,647 men"
buenas 151571,good 151571
somos 151256,we are 151256
cualquier 150946,any 150946
forma 150750,form 150750
mientras 150383,while 150383
lado 149162,149162 side
debo 148975,I 148975
sería 148309,It would be 148309
caso 148273,case 148273
pueden 148183,may 148183
pasó 145810,145810 happened
primera 145110,first 145110
genial 145028,great 145028
chico 145009,145009 boy
supuesto 144428,Of course 144428
hice 144174,I 144174
pues 143870,for 143870
adiós 143677,"143,677 goodbye"
muchas 143007,many 143007
personas 141945,141945 people
señora 141893,lady 141893
volver 141009,Back 141009
esas 140885,these 140885
quizá 140794,"perhaps 140,794"
contra 140485,against 140485
camino 140092,140092 road
durante 139987,"over 139,987"
hablando 139007,talking 139007
manera 137722,137722 way
muerto 137301,137301 dead
persona 136985,136985 person
rápido 136953,quick 136953
cuál 136406,which 136406
ayuda 136155,"Help 136,155"
historia 135924,135924 story
iba 135256,would 135256
supongo 134885,134885 guess
nueva 134490,"134,490 new"
entiendo 134138,134138 understand
dentro 133954,"133,954 within"
casi 133614,"almost 133,614"
puerta 133533,133533 door
ves 133094,see 133094
pasar 131693,"spend 131,693"
primero 131298,first 131298
significa 130774,means 130774
semana 130555,130555 week
hacia 130000,to 130000
quizás 129544,perhaps 129544
espero 129454,I hope 129454
juntos 129353,together 129353
año 128910,"year 128,910"
niños 128856,"128,856 children"
pronto 128135,suddenly 128135
tío 127895,uncle 127895
suerte 127246,Luckily 127246
ciudad 126710,city 126710
siquiera 126506,even 126506
feliz 125692,125692 happy
venir 124376,124376 come
hija 124289,124289 daughter
gustaría 124196,like 124196
minutos 123912,"123,912 minutes"
cuánto 123138,how much 123138
os 122754,os 122754
hey 122432,"hey 122,432"
muerte 122057,death 122057
dejar 121779,"leaving 121,779"
realidad 121027,121027 reality
deja 120259,120259 leaves
problemas 120138,120138 problems
vi 119856,"vi 119,856"
da 119199,da 119199
importante 119177,important 119177
dijiste 119038,"said 119,038"
corazón 118685,118685 heart
miedo 118624,118624 fear
jefe 118458,118458 chief
agua 117654,117654 water
haré 117579,do 117579
justo 117044,just 117044
horas 116873,116873 hours
poder 115246,115246 power
buenos 115064,good 115064
esposa 114925,114925 wife
manos 114921,114921 hands
debes 114812,114812 must
viene 114395,It is 114395
venga 114109,114109 come
nuestros 114018,our 114018
ojos 113772,113772 eyes
adelante 113192,"forward 113,192"
encontrar 113028,find 113028
mano 112665,hand 112665
cinco 112532,five 112532
niño 112512,112512 child
ninguna 112227,no 112227
otros 112169,"other 112,169"
cara 111953,111953 face
cuidado 111524,111524 care
bajo 111241,low 111241
cerca 110690,about 110690
viejo 110403,110403 old
déjame 109679,let me 109679
noches 109592,109592 nights
bastante 109431,109431 pretty
fin 109402,order 109402
tomar 109183,take 109183
único 108435,only 108435
misma 108033,same 108033
escucha 107286,Listen 107286
ningún 107193,no 107193
suficiente 107106,enough 107106
punto 106940,point 106940
cuándo 106920,When 106920
sigue 106764,106764 follows
haya 106729,there are 106729
equipo 106584,106584 team
grande 106057,large 106057
necesita 105889,you need 105889
llegar 105719,Directions 105719
incluso 105304,even 105304
algunos 105052,some 105052
doctor 104991,Dr. 104991
difícil 104985,hard 104985
aunque 104655,"although 104,655"
hubiera 104473,had 104473
primer 104138,first 104138
coche 103946,103946 car
hago 103901,do 103901
clase 103827,class 103827
cuatro 103805,four 103805
mas 103445,more 103445
dices 103279,say 103279
pequeño 103016,small 103016
llama 102848,calls 102848
toma 102733,take 102733
hiciste 102722,"made 102,722"
allá 102642,beyond 102642
última 102333,last 102333
arriba 102254,up 102254
tierra 102197,102197 land
guerra 101887,101887 war
pensar 101695,101695 thinking
pueda 101487,can 101487
igual 101272,like 101272
loco 100021,loco 100021
sangre 99844,blood 99844
mujeres 99536,women 99536
vuelta 99529,99529 back
fui 99366,I was 99366
trabajar 99262,work 99262
tenido 99237,had 99237
juego 99041,99041 game
deberías 98960,"98,960 should"
cuerpo 98410,body 98410
e 96622,e 96622
algunas 96075,some 96075
entrar 95899,enter 95899
cree 95859,believes 95859
podía 95527,I could 95527
debemos 95445,we 95445
oportunidad 95375,95375 opportunity
teléfono 95015,phone 95015
necesitamos 94964,need 94964
final 94883,end 94883
listo 94769,94769 ready
fiesta 94739,94739 party
muchos 94250,many 94250
estabas 94097,"You were 94,097"
quieren 94018,want 94018
vete 93782,go 93782
auto 93654,auto 93654
dar 92706,to 92706
vivir 92629,live 92629
posible 92449,92449 possible
ok 92398,OK 92398
hermana 92291,"sister 92,291"
número 92183,number 92183
meses 92062,92062 months
exactamente 91598,exactly 91598
culpa 91506,fault 91506
abajo 91298,below 91298
escuela 90725,90725 school
ido 90670,gone 90670
fuerte 90226,strong 90226
diciendo 90048,saying 90048
habla 90023,speak 90023
esté 89826,is 89826
ello 89741,this 89741
pregunta 89617,89617 question
chicas 89467,89467 girls
eran 89418,were 89418
unas 89043,a 89043
pasando 88887,88887 passing
atrás 88877,88877 back
malo 88555,bad 88555
capitán 88550,captain 88550
sra. 88400,Mr / Ms. 88400
bebé 88307,"88,307 baby"
segundo 88232,second 88232
sabemos 87714,know 87714
mayor 87707,"87,707 more"
comida 87661,food 87661
morir 87614,die 87614
conozco 87429,I know 87429
dame 87200,gimme 87200
fácil 87099,easy 87099
comer 86671,eat 86671
vino 86406,wine 86406
lista 86033,86033 list
haga 85884,Make 85884
necesitas 85706,need 85706
hijos 85020,children 85020
probablemente 84911,probably 84911
padres 84855,84855 parents
habitación 84704,room 84704
creer 84624,believing 84624
pensando 84438,thinking 84438
fueron 84181,were 84181
dime 84079,tell me 84079
trata 83906,"about 83,906"
buscando 83655,looking 83655
tuve 83608,"had 83,608"
tampoco 83595,nor 83595
amo 83156,master 83156
joven 82919,young 82919
podrías 82328,"82,328 could"
sola 82229,single 82229
par 81901,81901 couple
única 81808,only 81808
hacen 81807,make 81807
seguir 81723,follow 81723
dr. 81308,dr. 81308
simplemente 80350,just 80350
dicen 80310,say 80310
medio 80278,medium 80278
puta 80176,80176 puta
saben 79988,know 79988
sentido 79686,79686 sense
hagas 79398,do 79398
segura 79393,safe 79393
esperar 79115,wait 79115
lejos 79091,away 79091
arma 78974,weapon 78974
alto 78496,high 78496
pequeña 78191,small 78191
dólares 77319,77319 dollars
seis 77064,six 77064
estaban 76916,were 76916
seguridad 76807,76807 security
maldita 76765,damn 76765
estuvo 76639,He was 76639
preocupes 76606,76606 worry
palabra 76589,word 76589
esperando 76353,76353 waiting
queda 76150,it is 76150
oficina 75697,office 75697
matar 75652,kill 75652
iré 75521,I'll 75521
cama 75441,75441 bed
además 75259,plus 75259
último 75205,Finally 75205
oído 75123,ear 75123
habría 74848,74848 would
estará 74836,will be 74836
dio 74745,he gave 74745
recuerdo 74344,74344 memory
siendo 74265,being 74265
acerca 74051,about 74051
tenga 73994,has 73994
luz 73886,73886 light
correcto 73881,correct 73881
ud. 73708,You. 73708
demonios 73485,demons 73485
nuestras 73354,our 73354
verte 73227,verte 73227
dormir 73064,sleep 73064
sitio 73036,73036 site
ayudar 72837,72837 help
conseguir 72697,get 72697
di 72555,di 72555
marido 72210,husband 72210
paz 72000,72000 peace
idiota 71856,idiot 71856
plan 71640,71640 plan
dado 71249,given 71249
cuanto 71197,as 71197
peor 70692,worst 70692
murió 70466,died 70466
pueblo 70465,70465 people
vivo 70329,live 70329
venido 70151,come 70151
john 69978,john 69978
basta 69973,69973 enough
paso 69865,step 69865
deberíamos 69574,69574 should
música 69241,69241 music
diga 68941,say 68941
minuto 68878,68878 minute
anoche 68870,last night 68870
llamar 68861,call 68861
piensa 68552,think 68552
país 68539,68539 country
digas 68227,say 68227
rey 67803,king 67803
perdón 67516,67516 forgiveness
mucha 67426,lot 67426
falta 67152,67152 missing
pienso 67140,I think 67140
diablos 67119,devils 67119
perdido 66882,lost 66882
niña 66672,66672 girl
señorita 66491,Miss 66491
diez 66429,ten 66429
lleva 66407,takes 66407
hospital 66316,66316 hospital
grandes 66186,large 66186
maldito 66025,damn 66025
otras 65924,other 65924
llamado 65650,called 65650
hacemos 65535,do 65535
llevar 65446,carry 65446
fuego 65442,65442 fire
aqui 65202,here 65202
tuvo 65130,had 65130
poner 64740,putting 64740
calle 64675,64675 street
acaba 64600,just 64600
prueba 64593,64593 test
increíble 64527,amazing 64527
real 64511,Real 64511
libro 64445,book 64445
orden 64437,order 64437
semanas 64300,64300 weeks
especial 64240,special 64240
mía 64132,64132 mine
café 63914,coffee 63914
duro 63800,hard 63800
empezar 63463,63463 start
afuera 63387,outside 63387
queremos 63319,we want 63319
perro 63070,63070 dog
cielo 62981,62981 sky
jack 62965,jack 62965
puesto 62949,62949 post
viaje 62667,62667 trip
detrás 62621,62621 behind
cuarto 62590,fourth 62590
querida 62549,dear 62549
haría 62547,62547 would
preguntas 62505,62505 questions
piensas 62433,62433 think
querido 62425,dear 62425
libre 62421,free 62421
buscar 62319,Search 62319
cual 62288,which 62288
diré 62193,I'll 62193
suena 62170,sounds 62170
jugar 62132,play 62132
cambio 62106,62106 change
película 61985,film 61985
millones 61876,61876 million
habrá 61821,there will be 61821
llamada 61791,called 61791
resto 61752,61752 rest
vemos 61545,see 61545
extraño 61249,strange 61249
mala 61177,bad 61177
presidente 61090,President 61090
srta. 60636,Ms. 60636
irme 60622,leave 60622
ropa 60542,clothing 60542
perder 60378,lose 60378
vuelve 60172,returns 60172
agente 60171,agent 60171
palabras 60090,60090 words
información 60090,information 60090
raro 60086,rare 60086
hará 59965,59965 will
entiendes 59914,understand 59914
éste 59792,59792 it
trabajando 59674,working 59674
tratando 59643,trying 59643
general 59593,General 59593
trato 59469,59469 deal
usar 59267,use 59267
perfecto 59208,perfect 59208
derecho 59164,right 59164
modo 59041,59041 mode
ayer 59013,yesterday 59013
conoces 58941,know 58941
demás 58811,other 58811
quieras 58704,want 58704
podríamos 58548,We could 58548
noticias 58530,news 58530
asesino 58507,murderer 58507
encontrado 57581,57581 found
control 57479,57479 Control
odio 57427,hate 57427
frente 57371,front 57371
sexo 57281,sex 57281
decirle 57135,tell 57135
estaré 57085,I will be 57085
divertido 56908,funny 56908
armas 56785,56785 weapons
recuerdas 56669,56669 remember
amiga 56665,56665 friend
grupo 56638,group 56638
asunto 56622,case 56622
acabo 56586,just 56586
mensaje 56126,message 56126
encima 56110,above 56110
atención 56092,56092 attention
diferente 56028,56028 different
uh 55996,uh 55996
cállate 55856,Shut 55856
daño 55599,55599 damage
sucede 55572,55572 happens
cambiar 55360,55360 change
siguiente 55300,next 55300
sino 55136,but 55136
the 54966,the 54966
seas 54799,be 54799
médico 54547,medical 54547
boca 54512,54512 mouth
dejó 54435,He left 54435
error 54414,Error 54414
jamás 54158,ever 54158
largo 53833,long 53833
pena 53618,worth 53618
voz 53574,voice 53574
futuro 53557,53557 future
siente 53518,feeling 53518
secreto 53504,secret 53504
baño 53455,53455 bathroom
mil 53364,thousand 53364
decirte 53207,tell 53207
sam 53082,sam 53082
pensaba 53018,thought 53018
novia 52984,52984 bride
propia 52973,own 52973
sueño 52956,dream 52956
haz 52344,beam 52344
fuerza 52316,52316 force
deben 52297,must 52297
supone 52250,means 52250
estábamos 52003,we were 52003
ambos 51916,both 51916
ay 51890,ay 51890
estuve 51592,I was 51592
encontré 51507,I found 51507
vuelto 51505,51505 returned
dolor 51283,pain 51283
dile 51271,Tell 51271
encanta 51240,love 51240
edad 51163,51163 old
darle 51120,give 51120
pie 51066,51066 feet
negro 50987,black 50987
ganar 50970,win 50970
york 50964,york 50964
aire 50788,air 50788
lamento 50766,50766 regret
verlo 50765,50765 view
asesinato 50759,50759 murder
vio 50756,saw 50756
adónde 50674,where 50674
llegado 50534,reached 50534
disculpe 50520,Sorry 50520
s 50469,s 50469
cita 50399,quote 50399
estaría 50270,would be 50270
fuiste 50201,You were 50201
sistema 50050,50050 system
gusto 50039,like 50039
pobre 50019,poor 50019
negocio 49896,49896 business
mente 49842,49842 mind
tuyo 49799,yours 49799
campo 49614,49614 field
mire 49575,look 49575
situación 49426,49426 situation
tras 49345,after 49345
hotel 49177,49177 hotel
vosotros 49111,you 49111
funciona 48956,it works 48956
foto 48915,photo 48915
abogado 48914,48914 lawyer
loca 48859,48859 loca
propio 48844,own 48844
alrededor 48767,around 48767
próxima 48701,next 48701
terminado 48673,over 48673
hablas 48652,speak 48652
pagar 48636,pay 48636
mató 48583,48583 killed
llamo 48473,I call 48473
personal 48419,Personal 48419
sientes 48410,feel 48410
ocurre 48364,48364 occurs
ésta 48338,this 48338
recuerda 48335,recalls 48335
mitad 48317,48317 half
quiera 48299,48299 wants
pelo 48293,hair 48293
tenías 48183,48183 had
viste 47962,dresses 47962
oficial 47960,official 47960
llegó 47852,came 47852
compañía 47842,47842 company
relación 47824,relationship 47824
conoce 47688,47688 knows
pase 47622,pass 47622
montón 47610,lot 47610
mejores 47509,best 47509
creí 47494,I thought 47494
cena 47357,dinner 47357
sentir 47337,feeling 47337
través 47295,by 47295
accidente 47117,47117 accident
i 46981,i 46981
ellas 46892,46892 them
caja 46635,box 46635
tranquilo 46587,quiet 46587
bonito 46554,nice 46554
eras 46544,46544 eras
asi 46535,so 46535
pudo 46533,He was 46533
vive 46462,46462 lives
vista 46461,46461 view
estúpido 46441,stupid 46441
línea 46341,line 46341
caballeros 46158,knights 46158
haremos 46119,do 46119
dan 46063,they give 46063
quédate 46054,stay 46054
tienda 45913,Store 45913
comprar 45899,45899 buy
entendido 45877,45877 understood
centro 45864,45864 center
salvo 45755,except 45755
mes 45648,month 45648
joe 45615,joe 45615
sol 45567,sun 45567
tonto 45479,silly 45479
hambre 45455,hunger 45455
michael 45411,michael 45411
mesa 45409,45409 table
respuesta 45345,Answer 45345
completamente 45342,fully 45342
david 45220,david 45220
carta 45152,letter 45152
totalmente 45016,totally 45016
imposible 44898,44898 impossible
pruebas 44861,44861 tests
novio 44832,44832 boyfriend
normal 44793,Normal 44793
gustan 44761,like 44761
frank 44615,frank 44615
pude 44614,44614 could
charlie 44589,charlie 44589
traje 44234,suit 44234
dirección 44229,44229 address
siete 44169,seven 44169
dijeron 44151,said 44151
placer 44038,44038 pleasure
sean 43979,are 43979
tendrá 43656,43656 will
barco 43597,43597 boat
blanco 43530,white 43530
tom 43467,tom 43467
profesor 43370,professor 43370
servicio 43358,service 43358
muchacho 43295,43295 boy
reunión 43217,43217 meeting
dejado 43162,left 43162
ley 43043,law 43043
quisiera 42974,I would like 42974
hubo 42830,there were 42830
george 42765,george 42765
programa 42763,program 42763
carrera 42759,42759 career
cumpleaños 42596,birthday 42596
muchachos 42571,42571 boys
culo 42470,ass 42470
canción 42468,song 42468
hermosa 42438,42438 beautiful
universidad 42412,42412 college
boda 42403,wedding 42403
decirme 42378,me 42378
cualquiera 42369,any 42369
tengas 42271,have 42271
hacía 42256,it was 42256
estés 42240,42240're
sala 42122,42122 room
llevo 42084,carry 42084
decisión 42011,decision 42011
espere 42008,wait 42008
don 41978,Don 41978
necesario 41752,41752 necessary
sal 41725,41725 salt
entra 41706,enter 41706
prisa 41706,41706 rush
carajo 41656,fuck 41656
embargo 41642,But 41642
interesante 41640,Interestingly 41640
tendrás 41583,have 41583
escuchar 41472,listening 41472
abuela 41377,grandmother 41377
hicieron 41321,did 41321
detective 41299,detective 41299
horrible 41259,Horrible 41259
suelo 41247,41247 ground
fotos 41245,photo 41245
cárcel 41152,41152 jail
acá 41151,here 41151
io 41134,io 41134
mike 41066,mike 41066
siéntate 40993,Sit 40993
decía 40982,said 40982
intentando 40706,trying 40706
vámonos 40700,40700 vámonos
maldición 40681,40681 curse
silencio 40675,silence 40675
muerta 40660,40660 dead
capaz 40541,able 40541
salió 40377,came 40377
club 40360,40360 club
terminar 40338,40338 finish
temo 40288,40288 fear
broma 40281,joke 40281
gobierno 40236,government 40236
prometo 40224,40224 promise
cámara 40045,camera 40045
media 39998,average 39998
terrible 39993,Terrible 39993
llamó 39922,He called 39922
regalo 39903,gift 39903
amable 39841,friendly 39841
dulce 39818,sweet 39818
muertos 39809,39809 dead
querías 39797,wanted 39797
ataque 39782,39782 attack
das 39589,das 39589
navidad 39589,39589 christmas
negocios 39553,39553 business
pudiera 39528,39528 could
ocho 39524,eight 39524
avión 39484,39484 plane
investigación 39465,39465 research
acabó 39429,He ended 39429
juro 39329,swear 39329
mantener 39327,keep 39327
ejército 39290,army 39290
papel 39262,39262 paper
partes 39255,39255 parts
ten 39243,ten 39243
gracioso 39166,funny 39166
diría 39163,say 39163
principio 39155,principle 39155
delante 38898,front 38898
teniente 38628,Lieutenant 38628
deseo 38627,38627 desire
vayas 38593,go 38593
nave 38459,38459 ship
sale 38407,sale 38407
basura 38280,38280 trash
vine 38168,vine 38168
contacto 38028,contact 38028
esposo 38011,husband 38011
tren 37976,train 37976
encontramos 37952,37952 found
dale 37876,dale 37876
verdadero 37844,true 37844
tuya 37837,yours 37837
alma 37824,soul 37824
hazlo 37804,do 37804
disculpa 37801,37801 apology
junto 37794,next 37794
anda 37779,anda 37779
tendré 37662,I'll 37662
matrimonio 37656,37656 marriage
saberlo 37540,know 37540
locura 37525,madness 37525
oro 37500,37500 gold
permiso 37465,OK 37465
director 37428,Director 37428
peligro 37415,37415 danger
libertad 37412,37412 freedom
alegro 37403,glad 37403
baja 37298,low 37298
tendremos 37262,we 37262
derecha 37262,right 37262
encuentra 37241,37241 found
pies 37222,37222 feet
segunda 37192,second 37192
maravilloso 37115,37115 wonderful
espacio 37114,space 37114
rato 37101,while 37101
abuelo 37062,grandfather 37062
esperaba 37031,37031 expected
mirando 37030,looking 37030
salud 37016,37016 health
sorpresa 37012,surprise 37012
ninguno 37007,none 37007
miren 37000,look 37000
triste 36968,sad 36968
aun 36908,even 36908
pensado 36904,thought 36904
maestro 36887,master 36887
según 36882,by 36882
infierno 36835,hell 36835
podrían 36824,could 36824
tipos 36703,types 36703
tía 36607,aunt 36607
crimen 36579,36579 crime
conocido 36564,known 36564
consejo 36446,Council 36446
ante 36426,to 36426
iglesia 36300,36300 church
intento 36197,36197 attempt
mayoría 36167,most 36167
doy 36153,I 36153
peter 36107,peter 36107
hicimos 36096,did 36096
escena 36065,scene 36065
piso 36054,36054 floor
señal 36012,36012 signal
honor 35990,honor 35990
llamas 35985,flames 35985
abre 35915,35915 opens
cerebro 35820,brain 35820
veras 35817,really 35817
viendo 35814,watching 35814
pone 35812,putting 35812
pregunto 35802,ask 35802
cocina 35715,kitchen 35715
vestido 35669,dress 35669
inteligente 35632,smart 35632
vieja 35616,35616 old
caballo 35585,35585 horse
vienen 35533,are 35533
vidas 35477,35477 lives
bar 35461,35461 bar
corte 35435,35435 cut
sucedió 35426,35426 it happened
adentro 35406,in 35406
drogas 35396,35396 drugs
enseguida 35331,35331 immediately
busca 35289,seeks 35289
agradable 35267,nice 35267
carne 35253,meat 35253
parecía 35223,looked 35223
departamento 35214,Department 35214
lindo 35195,cute 35195
mar 35149,35149 sea
duda 35145,35145 doubt
edificio 35098,35098 building
conocer 35058,know 35058
cargo 35050,35050 charge
víctima 35048,victim 35048
luna 34997,34997 moon
energía 34997,34997 energy
frío 34936,cold 34936
hablo 34863,speak 34863
baile 34771,34771 dancing
trabaja 34740,34740 works
misión 34729,34729 mission
listos 34703,ready 34703
ayudarte 34637,34637 help
izquierda 34629,left 34629
paul 34600,paul 34600
beber 34576,drink 34576
deje 34568,let 34568
finalmente 34516,finally 34516
simple 34511,Simple 34511
daré 34496,I will give 34496
sabías 34453,know 34453
puedas 34446,you can 34446
puso 34438,put 34438
creía 34319,believed 34319
regresar 34314,34314 back
llega 34263,reaches 34263
entender 34253,understanding 34253
mirar 34206,watch 34206
sacar 34188,take 34188
cambiado 34095,34095 changed
trae 34072,brings 34072
hermoso 34066,34066 beautiful
opinión 34009,34009 view
verás 34007,You will see 34007
linda 34005,linda 34005
apenas 33969,just 33969
segundos 33905,33905 seconds
cerveza 33902,beer 33902
harás 33809,do 33809
estuviera 33794,I was 33794
creen 33728,33728 believe
oír 33646,hear 33646
tendría 33574,33574 would
cuántos 33572,how many 33572
hablado 33561,spoken 33561
hablamos 33532,speak 33532
reina 33477,queen 33477
temprano 33465,early 33465
tema 33446,item 33446
prisión 33396,33396 prison
porqué 33393,why 33393
vuelva 33350,33350 back
público 33347,33347 public
ocurrió 33319,33319 occurred
veré 33305,I see 33305
salvar 33301,save 33301
partido 33291,33291 party
bonita 33286,pretty 33286
joder 33283,fuck 33283
causa 33279,33279 causes
caliente 33249,hot 33249
sargento 33179,sergeant 33179
cenar 33146,dinner 33146
compañero 32947,partner 32947
llevó 32910,It took 32910
banco 32880,32880 bank
existe 32874,there 32874
ben 32858,ben 32858
zona 32787,area 32787
destino 32785,32785 destination
base 32757,based 32757
solía 32665,used 32665
cliente 32665,32665 customer
